"","OverallQual","GrLivArea","GarageCars","Neighborhood","ExterQual","X1stFlrSF","BsmtFinSF1","LotArea","X2ndFlrSF","KitchenQual","YearBuilt","FullBath","SalePrice"
"740",5,1432,2,"OldTown","TA",768,0,9600,664,"TA",1910,2,132000
"447",7,1886,2,"Gilbert","Gd",956,0,11214,930,"Gd",1998,2,199900
"622",5,980,2,"Sawyer","TA",980,560,7064,0,"TA",1977,1,135000
"1009",5,1271,1,"Sawyer","TA",720,0,21286,551,"TA",1948,2,135000
"124",6,1199,2,"SawyerW","Gd",1199,300,7892,0,"Gd",1993,2,153900
"328",6,1383,1,"NAmes","TA",1383,565,11600,0,"TA",1960,1,145250
"399",7,1550,2,"Somerst","Gd",1112,812,8125,438,"Gd",2006,2,241000
"396",5,894,2,"CollgCr","TA",894,777,7200,0,"TA",1972,1,123000
"893",5,1383,1,"Sawyer","TA",1383,1064,13284,0,"TA",1954,1,165000
"623",6,1512,2,"Somerst","Gd",756,420,2117,756,"Gd",2000,2,168500
"944",6,1344,2,"Timber","TA",1344,111,14375,0,"Gd",1958,1,137500
"822",7,1733,2,"Gilbert","Gd",847,0,12394,886,"Gd",2003,2,225000
"165",6,1616,1,"OldTown","TA",1149,370,5400,467,"Gd",1926,2,152000
"862",6,1097,2,"SawyerW","TA",1097,338,9672,0,"TA",1984,2,152000
"518",6,1796,2,"CollgCr","TA",882,706,9531,914,"TA",1998,2,211000
"619",8,2262,3,"Timber","Gd",1482,871,12244,780,"Gd",2003,2,305000
"75",3,1605,1,"OldTown","Gd",840,0,5790,765,"TA",1915,2,107400
"381",7,1301,2,"Somerst","Gd",1301,0,7200,0,"Gd",2006,2,187750
"575",5,1216,1,"NAmes","TA",832,442,8480,384,"TA",1947,1,118500
"1204",7,2196,3,"SawyerW","Gd",2196,485,14684,0,"Gd",1990,2,271900
"1244",6,1868,2,"NWAmes","TA",1140,0,12090,728,"TA",1984,3,178000
"885",9,1709,2,"Somerst","Gd",1709,1238,5119,0,"Gd",1999,2,328900
"1114",8,1734,3,"NridgHt","Gd",1734,1004,12085,0,"Ex",2007,2,318000
"511",7,1368,2,"NridgHt","Gd",1368,0,6792,0,"Gd",2005,2,202665
"582",6,816,0,"Edwards","TA",816,816,11841,0,"TA",1990,1,118500
"1013",6,1082,1,"NAmes","TA",1082,336,11664,0,"TA",1948,1,119200
"1201",5,1348,1,"BrkSide","TA",884,0,6000,464,"TA",1925,1,117000
"343",9,1684,2,"NridgHt","Ex",1684,28,8849,0,"Ex",2005,2,266000
"1103",5,1302,2,"BrDale","TA",630,0,2016,672,"TA",1970,2,106000
"509",5,1041,1,"NAmes","TA",1041,991,9600,0,"TA",1959,1,124500
"765",9,1506,2,"Somerst","Gd",1506,0,14587,0,"Ex",2008,2,264132
"133",5,1327,2,"NAmes","TA",1327,405,7388,0,"Gd",1959,1,150750
"243",5,1440,1,"OldTown","TA",889,0,5000,551,"TA",1900,1,79000
"1283",6,2447,1,"SWISU","TA",1699,0,9638,748,"Gd",1919,2,169000
"602",8,1915,2,"SawyerW","Gd",927,789,10041,988,"Gd",1992,2,220000
"1065",6,1571,2,"Gilbert","Gd",799,0,7837,772,"TA",1993,2,178000
"1170",6,1261,2,"NAmes","TA",1261,662,9120,0,"TA",1958,1,163000
"1357",6,1573,2,"Somerst","Gd",769,378,2117,804,"Gd",2000,2,177500
"974",7,1382,2,"Somerst","Gd",673,641,2651,709,"Gd",2000,2,165000
"711",4,1178,1,"IDOTRR","TA",859,0,8712,319,"TA",1900,1,102776
"391",6,1961,2,"Mitchel","TA",804,690,12209,1157,"Gd",2001,2,215000
"325",7,2978,2,"NAmes","Gd",1898,0,11275,1080,"Gd",1967,2,242000
"21",8,2376,3,"NridgHt","Gd",1158,0,14215,1218,"Gd",2005,3,325300
"1032",7,1654,3,"CollgCr","Gd",1654,986,8125,0,"Gd",2002,2,230000
"354",6,1595,1,"SWISU","TA",1192,388,8400,403,"TA",1940,1,140000
"228",6,987,1,"BrDale","TA",483,321,1869,504,"TA",1970,1,106000
"25",5,1060,1,"Sawyer","TA",1060,188,8246,0,"Gd",1968,1,154000
"686",7,1761,2,"Somerst","Gd",874,0,10207,887,"Gd",2007,3,227875
"146",6,1709,2,"Edwards","Gd",970,0,2522,739,"Gd",2004,2,130000
"1130",5,974,0,"Mitchel","TA",974,212,10712,0,"TA",1991,1,93500
"499",5,912,1,"NAmes","TA",912,111,7535,0,"TA",1958,1,120000
"1318",4,948,1,"Edwards","TA",948,492,10215,0,"TA",1954,1,111000
"346",6,958,1,"NAmes","TA",958,498,12772,0,"TA",1960,1,151500
"665",8,1936,2,"Gilbert","Gd",1454,0,11194,482,"Gd",2000,2,230500
"269",5,778,1,"IDOTRR","TA",778,403,6900,0,"TA",1940,1,120500
"819",7,1358,2,"NridgHt","Gd",1358,733,6371,0,"Gd",2009,2,224000
"645",6,981,2,"NAmes","TA",981,282,10530,0,"TA",1971,1,143250
"655",6,1092,1,"BrDale","TA",525,0,1680,567,"TA",1971,1,88000
"560",5,1392,2,"Sawyer","TA",1392,1302,11341,0,"TA",1957,1,121500
"707",8,1324,2,"NridgHt","Gd",1324,863,6240,0,"Gd",2006,2,254000
"45",5,1150,1,"NAmes","TA",1150,179,7945,0,"TA",1959,1,141000
"160",7,2462,2,"Gilbert","Gd",1392,57,19378,1070,"Gd",2005,2,320000
"1401",7,1294,2,"CollgCr","Gd",1294,0,6762,0,"Gd",2006,2,193879
"554",7,2046,3,"NridgHt","Gd",1006,866,10625,1040,"Gd",2003,2,284000
"1163",5,1432,2,"Veenker","TA",1432,680,16157,0,"Gd",1978,1,194000
"1061",5,2337,2,"OldTown","TA",1422,0,13600,915,"TA",1900,2,90000
"799",5,1768,1,"SWISU","TA",981,569,7200,787,"Gd",1937,1,175000
"1449",5,1792,0,"NAmes","TA",896,0,9000,896,"TA",1974,2,136000
"117",5,1092,1,"Sawyer","TA",1092,170,11616,0,"TA",1962,1,139000
"305",7,3493,3,"OldTown","TA",1675,0,18386,1818,"Gd",1880,3,295000
"105",7,1818,1,"IDOTRR","TA",1226,224,7758,592,"TA",1931,1,169500
"742",7,1349,2,"SawyerW","TA",1349,0,8450,0,"TA",2000,2,179000
"889",6,1505,2,"NAmes","TA",1505,1024,12160,0,"TA",1953,1,149500
"729",4,1208,2,"IDOTRR","TA",848,152,6240,0,"TA",1925,1,103000
"55",5,1360,2,"NAmes","TA",1360,384,7134,0,"TA",1955,1,130000
"755",6,1471,2,"Somerst","TA",742,381,3230,729,"TA",1999,2,172500
"516",6,2119,2,"NWAmes","TA",1378,0,10448,741,"TA",1972,2,158000
"1328",7,1632,2,"Gilbert","TA",955,0,9084,677,"TA",1998,2,176500
"356",6,1167,2,"Gilbert","TA",1167,560,9248,0,"Gd",1992,2,173000
"287",6,1734,2,"NAmes","TA",1085,600,9786,649,"Gd",1962,1,159000
"1187",7,1660,2,"CollgCr","Gd",831,0,8935,829,"Gd",2002,2,195000
"640",8,1518,2,"NridgHt","Ex",1518,1218,12677,0,"Ex",2003,1,274000
"307",7,2243,3,"SawyerW","Gd",1122,700,13474,1121,"Gd",1990,2,225000
"858",7,1370,2,"NWAmes","TA",1370,0,10400,0,"TA",1976,2,152000
"280",7,2022,2,"ClearCr","TA",1156,392,10005,866,"TA",1977,2,192000
"28",8,1704,3,"NridgHt","Gd",1704,1218,11478,0,"Gd",2007,2,306000
"1095",6,1355,0,"IDOTRR","TA",773,0,6882,582,"Gd",1914,1,127000
"377",8,2466,2,"Somerst","Gd",1580,0,11143,886,"Gd",2004,3,340000
"229",5,912,1,"Sawyer","TA",912,842,8521,0,"TA",1967,1,125000
"233",6,987,1,"BrDale","TA",483,0,1680,504,"TA",1972,1,94500
"669",4,1180,1,"Crawfor","TA",1180,0,11600,0,"Fa",1922,1,137500
"973",7,2019,2,"BrkSide","TA",1136,0,11414,883,"Gd",1910,1,167500
"809",5,2138,2,"OldTown","TA",1075,0,8100,1063,"TA",1898,2,106000
"706",7,1824,2,"ClearCr","TA",1824,1219,115149,0,"Gd",1971,2,302000
"521",6,1244,1,"NAmes","TA",1244,777,11988,0,"TA",1957,1,150000
"1138",5,1167,2,"BrkSide","TA",1167,645,8731,0,"TA",1920,1,144000
"340",8,1908,2,"Timber","Gd",993,0,14191,915,"Gd",2002,2,202900
"736",3,1040,2,"NAmes","TA",1040,0,8544,0,"TA",1950,2,93500
"1012",5,1022,1,"OldTown","TA",1022,247,7200,0,"TA",1910,1,85000
"41",6,1324,2,"NAmes","TA",1324,643,8658,0,"TA",1965,2,160000
"468",8,1634,3,"NridgHt","Gd",1634,0,11428,0,"Gd",2006,2,250000
"84",5,1065,2,"NAmes","TA",1065,0,8892,0,"TA",1960,1,126500
"501",7,1768,2,"Somerst","Gd",866,400,9803,902,"Gd",2005,2,226700
"553",4,1126,2,"Edwards","TA",1126,0,8777,0,"Gd",1949,2,108000
"1239",7,1768,2,"CollgCr","Gd",884,550,8158,884,"Gd",2003,2,224900
"1203",5,1074,2,"NWAmes","TA",1074,788,10140,0,"TA",1975,1,153500
"1331",4,816,1,"Edwards","TA",816,690,8877,0,"TA",1938,1,100000
"1402",8,1464,3,"Somerst","Gd",1464,929,15256,0,"Gd",2007,2,282922
"937",7,1971,2,"Somerst","Gd",1113,341,9675,858,"Gd",2005,2,253000
"1440",6,848,2,"CollgCr","Gd",848,697,4426,0,"Gd",2004,1,149300
"1058",6,1991,2,"Crawfor","TA",1096,297,11275,895,"TA",1932,1,220000
"1136",5,1020,0,"Sawyer","TA",780,0,6342,240,"TA",1875,1,94000
"247",6,1928,1,"OldTown","TA",908,0,9142,1020,"Fa",1910,2,137000
"1419",6,1416,2,"NWAmes","TA",708,404,11700,708,"TA",1968,2,179900
"945",5,1869,2,"OldTown","TA",1188,1088,8820,561,"TA",1890,1,124900
"1227",9,1702,3,"NridgHt","Ex",1702,1540,8769,0,"Ex",2008,1,367294
"348",7,1626,2,"NridgHt","Gd",764,573,2448,862,"Gd",2003,2,154000
"1063",5,1154,2,"NAmes","TA",1154,740,11000,0,"TA",1966,1,154000
"824",8,1489,2,"Somerst","Gd",1489,0,11216,0,"Gd",2006,2,232600
"939",7,2403,1,"ClearCr","TA",1207,0,24090,1196,"TA",1940,2,244400
"145",5,1728,2,"Sawyer","TA",1728,1332,9100,0,"TA",1963,2,125000
"1457",5,1078,1,"NAmes","TA",1078,49,9717,0,"Gd",1950,1,142125
"434",4,630,0,"MeadowV","TA",630,495,1890,0,"TA",1972,1,81000
"1383",6,1258,1,"Edwards","TA",698,204,9060,560,"TA",1939,1,105000
"272",7,1363,2,"ClearCr","TA",1363,226,39104,0,"TA",1954,1,241500
"293",5,1716,1,"Edwards","TA",1148,292,11409,568,"TA",1949,1,131000
"844",5,1416,3,"OldTown","TA",876,0,12665,540,"TA",1915,1,153900
"470",8,1502,2,"StoneBr","Gd",1502,368,6820,0,"Gd",1985,1,212000
"1140",5,1868,2,"NWAmes","TA",1088,381,10304,780,"Gd",1976,2,197500
"1264",7,1452,2,"Somerst","Gd",713,450,3735,739,"Gd",1999,2,183900
"1180",8,1652,2,"Crawfor","Ex",1652,1480,5587,0,"Gd",2008,2,392500
"63",8,1370,2,"NridgHt","Gd",1370,24,6442,0,"Gd",2006,2,202500
"1020",7,1220,2,"CollgCr","Gd",1220,684,7406,0,"Gd",2006,2,194000
"306",8,2000,3,"CollgCr","Gd",2000,1464,10386,0,"Gd",2004,2,305900
"418",5,1134,1,"Edwards","TA",756,312,8160,378,"TA",1940,1,126000
"374",7,1928,2,"CollgCr","Gd",847,0,8200,1081,"Gd",2003,2,219500
"943",5,1632,2,"Mitchel","TA",1632,0,25000,0,"TA",1967,2,143000
"1139",5,952,2,"NAmes","TA",952,852,7350,0,"TA",1951,1,139000
"141",4,864,0,"NAmes","TA",864,432,10500,0,"TA",1971,1,115000
"726",6,1680,2,"Crawfor","Gd",1680,808,21695,0,"Gd",1988,2,222000
"855",5,1040,1,"Sawyer","TA",1040,659,6897,0,"TA",1962,1,127000
"310",9,1944,3,"NridgHt","Gd",1944,1274,12378,0,"Ex",2003,2,360000
"101",6,1610,2,"NWAmes","TA",1610,1200,10603,0,"Gd",1977,2,205000
"1214",5,894,1,"Sawyer","TA",894,180,7094,0,"TA",1966,1,125000
"194",7,1709,2,"Edwards","Gd",970,0,2522,739,"Gd",2004,2,130000
"1080",5,1040,1,"Sawyer","TA",1040,824,7500,0,"TA",1963,1,133000
"543",7,767,1,"NAmes","TA",767,584,4058,0,"TA",1998,1,133000
"804",5,1128,1,"NAmes","TA",1128,812,9000,0,"TA",1954,1,118000
"90",4,990,0,"CollgCr","TA",990,588,8070,0,"TA",1994,1,123600
"1184",5,1221,1,"Edwards","TA",949,392,9738,272,"TA",1924,1,104900
"1151",6,1811,2,"Crawfor","TA",1811,296,14115,0,"Ex",1956,1,230000
"258",7,1604,2,"CollgCr","Gd",1604,1334,8814,0,"Gd",2006,2,220000
"91",4,1040,2,"NAmes","TA",1040,0,7200,0,"TA",1950,1,109900
"206",7,1442,2,"Gilbert","TA",1442,0,11851,0,"TA",1990,2,180500
"435",7,1661,2,"CollgCr","Gd",827,385,10667,834,"Gd",1996,2,212000
"235",6,1960,2,"Gilbert","Gd",860,625,7851,1100,"Gd",2002,2,216500
"191",8,2727,2,"Crawfor","Gd",1549,297,10570,1178,"Gd",1932,2,315000
"379",6,1800,2,"Gilbert","TA",1007,0,8123,793,"TA",2000,2,179000
"1217",4,912,0,"BrkSide","TA",672,0,6240,240,"TA",1947,1,80500
"134",8,1296,2,"Timber","Gd",1296,1005,6853,0,"Gd",2001,2,220000
"1339",4,872,4,"NAmes","TA",872,0,8294,0,"TA",1971,1,123000
"670",6,1476,2,"CollgCr","Gd",738,193,8633,738,"Gd",2005,2,173500
"534",8,1414,2,"Gilbert","Gd",707,0,9056,707,"Gd",2004,2,178000
"536",7,1724,2,"CollgCr","TA",880,0,8924,844,"Gd",1998,2,188000
"987",6,2030,2,"NWAmes","TA",1118,156,12046,912,"Gd",1976,2,195000
"336",9,1922,3,"StoneBr","Gd",1922,1249,14157,0,"Gd",2005,2,377426
"1294",5,1052,1,"NAmes","TA",1052,1016,8400,0,"TA",1968,1,138500
"1269",7,1524,2,"ClearCr","Gd",1332,1258,23595,192,"Gd",1979,0,260000
"865",5,1002,2,"NAmes","TA",1002,828,8750,0,"TA",1970,1,148500
"761",5,1301,2,"BrkSide","TA",1301,405,6911,0,"Fa",1924,1,100000
"1319",6,1478,2,"NAmes","TA",1478,189,8400,0,"TA",1957,1,156500
"981",7,1266,2,"Blmngtn","Gd",1266,0,3182,0,"Gd",2007,2,159895
"959",5,858,0,"BrkSide","TA",858,696,7207,0,"TA",1958,1,116500
"910",5,2274,2,"NAmes","TA",1105,443,11600,1169,"TA",1960,2,154300
"1268",5,1524,1,"NAmes","TA",874,460,11344,650,"TA",1958,1,144000
"580",6,1429,2,"NAmes","TA",1429,594,14585,0,"Gd",1960,1,181900
"152",8,1710,3,"NridgHt","Gd",1710,1400,13891,0,"Gd",2007,2,372402
"1325",3,774,0,"Edwards","TA",774,544,4270,0,"Gd",1931,1,79000
"603",7,1200,2,"Somerst","Gd",600,0,3182,600,"Gd",2004,2,151000
"451",7,1533,2,"ClearCr","TA",1533,655,70761,0,"Gd",1975,2,280000
"433",6,1604,2,"Gilbert","TA",926,0,10839,678,"TA",1997,2,181000
"163",7,1541,2,"NridgHt","Gd",1541,1201,12182,0,"Gd",2005,2,220000
"542",7,1680,2,"NWAmes","Gd",1680,144,10140,0,"Gd",1998,2,213250
"604",7,1494,2,"CollgCr","Gd",1494,922,12803,0,"Gd",2002,2,221000
"673",6,1839,2,"Crawfor","TA",1839,1186,14442,0,"Gd",1957,2,257500
"1392",6,1912,2,"OldTown","TA",1221,0,10800,691,"TA",1905,2,163000
"1115",8,1419,2,"Gilbert","Gd",779,353,7750,640,"Gd",2002,2,184100
"864",7,1372,2,"Somerst","Gd",1372,0,8640,0,"Gd",2007,2,250580
"920",6,1721,2,"SawyerW","Gd",936,814,8462,785,"Gd",1994,2,201000
"231",6,1194,1,"NAmes","TA",1194,0,8760,0,"TA",1959,1,148000
"99",5,835,1,"Edwards","TA",835,108,10625,0,"TA",1920,1,83000
"92",5,1235,2,"NAmes","TA",1235,600,8500,0,"TA",1961,1,98600
"69",4,747,1,"OldTown","TA",747,0,4608,0,"TA",1945,1,80000
"1396",5,1513,1,"BrkSide","TA",939,0,6120,574,"TA",1920,1,137500
"1029",5,1928,0,"SWISU","TA",948,0,7082,980,"TA",1916,2,160000
"568",8,2132,2,"SawyerW","Gd",1496,1441,12327,636,"Gd",1983,1,316600
"1365",7,1790,2,"CollgCr","Gd",882,633,9179,908,"Gd",1999,2,193000
"353",6,720,2,"OldTown","TA",720,0,8520,0,"TA",1928,1,105900
"1122",5,698,0,"Edwards","TA",698,0,9405,0,"TA",1947,1,118000
"902",7,1509,2,"Gilbert","Gd",807,0,7875,702,"Gd",2003,2,180000
"281",7,1982,2,"SawyerW","Gd",1175,421,11287,807,"Gd",1989,2,228500
"674",6,1136,1,"NAmes","TA",1136,892,9200,0,"TA",1965,1,140000
"833",6,1516,2,"NAmes","TA",1516,196,10004,0,"TA",1964,1,167000
"1423",5,1344,1,"NAmes","TA",1344,457,9503,0,"TA",1958,1,144000
"188",5,1656,1,"OldTown","TA",808,0,10410,704,"TA",1916,2,135000
"840",6,1482,1,"SWISU","TA",810,156,12155,672,"Fa",1925,2,140000
"954",6,1958,2,"Crawfor","TA",979,484,7136,979,"TA",1946,2,145000
"1250",7,1405,2,"NridgHt","Gd",1405,0,3136,0,"Gd",2003,2,171750
"330",5,1192,1,"IDOTRR","TA",596,0,6402,596,"TA",1920,1,78000
"1106",7,2021,2,"Gilbert","Gd",887,0,23257,1134,"Gd",2006,2,274725
"891",6,1683,2,"Sawyer","TA",918,226,11184,765,"TA",1978,2,172500
"837",6,987,1,"BrDale","TA",483,330,1680,504,"TA",1973,1,100000
"930",8,1466,3,"Timber","Gd",1466,16,8925,0,"Gd",2007,2,201000
"515",10,2020,3,"NridgHt","Ex",2020,1436,12220,0,"Ex",2009,2,402861
"61",6,1158,2,"SawyerW","TA",1158,941,13072,0,"Gd",2004,1,158000
"951",5,768,1,"CollgCr","TA",768,660,7200,0,"TA",1972,1,133900
"1054",6,1523,2,"NWAmes","TA",1523,644,11361,0,"TA",1976,2,180000
"661",8,2448,3,"NoRidge","Gd",1686,1361,46589,762,"Gd",1994,2,402000
"1313",4,948,1,"Edwards","TA",948,732,8190,0,"TA",1954,1,119000
"154",6,1252,2,"ClearCr","TA",1252,429,13500,0,"TA",1960,1,235000
"125",6,1586,2,"NWAmes","TA",1586,0,17043,0,"TA",1979,2,181000
"850",6,848,2,"CollgCr","Gd",848,659,4435,0,"Gd",2003,1,131500
"1076",5,1096,1,"NAmes","TA",1096,75,15870,0,"TA",1969,1,138800
"952",5,1968,2,"Mitchel","TA",1168,562,11075,800,"TA",1969,2,172000
"397",5,1812,1,"NAmes","TA",876,540,7590,936,"TA",1962,2,169500
"283",7,1314,2,"NridgHt","Gd",1314,904,5063,0,"Gd",2007,2,207500
"464",5,1040,0,"CollgCr","TA",1040,616,8430,0,"TA",1978,2,124000
"990",8,1742,2,"OldTown","Gd",916,216,17671,826,"Gd",1882,1,168000
"1360",7,1530,2,"StoneBr","Gd",1530,1274,16158,0,"Gd",2005,2,260000
"478",8,1718,3,"CollgCr","Gd",1718,1288,10637,0,"Gd",2007,2,297000
"652",7,1716,2,"CollgCr","Gd",909,0,8750,807,"Gd",1996,2,191000
"1400",6,1593,2,"Gilbert","TA",864,759,7415,729,"TA",2004,2,193000
"1044",3,1733,2,"Edwards","TA",1733,0,13680,0,"TA",1955,2,139600
"267",6,1511,2,"Gilbert","TA",802,714,11207,709,"TA",1997,2,185000
"1448",5,630,0,"MeadowV","TA",630,553,1533,0,"Ex",1970,1,92000
"338",7,1621,2,"NWAmes","Gd",1621,213,14145,0,"Gd",1984,2,202500
"1372",10,2633,3,"NoRidge","Ex",2633,1282,11400,0,"Ex",2001,2,466500
"1377",6,987,1,"BrDale","TA",483,309,1953,504,"TA",1973,1,83000
"1230",5,1190,2,"NAmes","TA",1190,803,7728,0,"TA",1962,1,132500
"897",5,2240,2,"SawyerW","TA",1120,0,7018,1120,"TA",1979,2,142953
"384",6,1953,2,"ClearCr","Gd",1079,985,53107,874,"Gd",1992,2,240000
"668",5,1437,2,"Sawyer","TA",1437,988,14175,0,"TA",1956,1,168000
"1262",6,1824,2,"BrkSide","TA",1060,0,13515,764,"TA",1919,1,180500
"66",8,2473,3,"NridgHt","Gd",1143,0,9591,1330,"Gd",2004,2,317000
"592",5,816,2,"Mitchel","TA",816,816,6600,0,"TA",1982,1,138000
"861",5,1039,2,"Sawyer","TA",1039,841,11625,0,"TA",1965,1,131500
"1320",3,720,1,"BrkSide","TA",720,0,6627,0,"TA",1949,1,72500
"1085",4,1092,1,"MeadowV","TA",546,334,1974,546,"TA",1973,1,83500
"888",8,2217,2,"NAmes","Gd",2217,351,15865,0,"Gd",1970,2,268000
"1210",8,1752,2,"Gilbert","Gd",1080,427,12134,672,"TA",1988,2,164000
"218",4,1328,1,"OldTown","TA",810,0,9906,518,"TA",1925,1,107000
"1057",9,2184,3,"NridgHt","Ex",1130,936,11308,1054,"Ex",2008,2,335000
"722",4,864,2,"NAmes","TA",864,191,8120,0,"TA",1970,1,124500
